,car_name,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
38,"chevrolet,impala",8,350.0,165.0,4209,12.0,71,1,14.0
39,"pontiac,catalina,brougham",8,400.0,175.0,4464,11.5,71,1,14.0
40,"ford,galaxie,500",8,351.0,153.0,4154,13.5,71,1,14.0
41,"plymouth,fury,iii",8,318.0,150.0,4096,13.0,71,1,14.0
42,"dodge,monaco,(sw)",8,383.0,180.0,4955,11.5,71,1,12.0
43,"ford,country,squire,(sw)",8,400.0,170.0,4746,12.0,71,1,13.0
44,"pontiac,safari,(sw)",8,400.0,175.0,5140,12.0,71,1,13.0
45,"amc,hornet,sportabout,(sw)",6,258.0,110.0,2962,13.5,71,1,18.0
46,"chevrolet,vega,(sw)",4,140.0,72.0,2408,19.0,71,1,22.0
47,"pontiac,firebird",6,250.0,100.0,3282,15.0,71,1,19.0
48,"ford,mustang",6,250.0,88.0,3139,14.5,71,1,18.0
49,"mercury,capri,2000",4,122.0,86.0,2220,14.0,71,1,23.0
50,"opel,1900",4,116.0,90.0,2123,14.0,71,2,28.0
51,"peugeot,304",4,79.0,70.0,2074,19.5,71,2,30.0
52,"fiat,124b",4,88.0,76.0,2065,14.5,71,2,30.0
53,"toyota,corolla,1200",4,71.0,65.0,1773,19.0,71,3,31.0
54,"datsun,1200",4,72.0,69.0,1613,18.0,71,3,35.0
55,"volkswagen,model,111",4,97.0,60.0,1834,19.0,71,2,27.0
56,"plymouth,cricket",4,91.0,70.0,1955,20.5,71,1,26.0
57,"toyota,corona,hardtop",4,113.0,95.0,2278,15.5,72,3,24.0
58,"dodge,colt,hardtop",4,97.5,80.0,2126,17.0,72,1,25.0
59,"volkswagen,type,3",4,97.0,54.0,2254,23.5,72,2,23.0
60,"chevrolet,vega",4,140.0,90.0,2408,19.5,72,1,20.0
61,"ford,pinto,runabout",4,122.0,86.0,2226,16.5,72,1,21.0
62,"chevrolet,impala",8,350.0,165.0,4274,12.0,72,1,13.0
63,"pontiac,catalina",8,400.0,175.0,4385,12.0,72,1,14.0
64,"plymouth,fury,iii",8,318.0,150.0,4135,13.5,72,1,15.0
65,"ford,galaxie,500",8,351.0,153.0,4129,13.0,72,1,14.0
66,"amc,ambassador,sst",8,304.0,150.0,3672,11.5,72,1,17.0
67,"mercury,marquis",8,429.0,208.0,4633,11.0,72,1,11.0
68,"buick,lesabre,custom",8,350.0,155.0,4502,13.5,72,1,13.0
69,"oldsmobile,delta,88,royale",8,350.0,160.0,4456,13.5,72,1,12.0
70,"chrysler,newport,royal",8,400.0,190.0,4422,12.5,72,1,13.0
71,"mazda,rx2,coupe",3,70.0,97.0,2330,13.5,72,3,19.0
72,"amc,matador,(sw)",8,304.0,150.0,3892,12.5,72,1,15.0
73,"chevrolet,chevelle,concours,(sw)",8,307.0,130.0,4098,14.0,72,1,13.0
74,"ford,gran,torino,(sw)",8,302.0,140.0,4294,16.0,72,1,13.0
75,"plymouth,satellite,custom,(sw)",8,318.0,150.0,4077,14.0,72,1,14.0
76,"volvo,145e,(sw)",4,121.0,112.0,2933,14.5,72,2,18.0
77,"volkswagen,411,(sw)",4,121.0,76.0,2511,18.0,72,2,22.0
78,"peugeot,504,(sw)",4,120.0,87.0,2979,19.5,72,2,21.0
79,"renault,12,(sw)",4,96.0,69.0,2189,18.0,72,2,26.0
80,"ford,pinto,(sw)",4,122.0,86.0,2395,16.0,72,1,22.0
81,"datsun,510,(sw)",4,97.0,92.0,2288,17.0,72,3,28.0
82,"toyouta,corona,mark,ii,(sw)",4,120.0,97.0,2506,14.5,72,3,23.0
83,"dodge,colt,(sw)",4,98.0,80.0,2164,15.0,72,1,28.0
84,"toyota,corolla,1600,(sw)",4,97.0,88.0,2100,16.5,72,3,27.0
85,"buick,century,350",8,350.0,175.0,4100,13.0,73,1,13.0
86,"amc,matador",8,304.0,150.0,3672,11.5,73,1,14.0
87,"chevrolet,malibu",8,350.0,145.0,3988,13.0,73,1,13.0
88,"ford,gran,torino",8,302.0,137.0,4042,14.5,73,1,14.0
89,"dodge,coronet,custom",8,318.0,150.0,3777,12.5,73,1,15.0
90,"mercury,marquis,brougham",8,429.0,198.0,4952,11.5,73,1,12.0
91,"chevrolet,caprice,classic",8,400.0,150.0,4464,12.0,73,1,13.0
92,"ford,ltd",8,351.0,158.0,4363,13.0,73,1,13.0
93,"plymouth,fury,gran,sedan",8,318.0,150.0,4237,14.5,73,1,14.0
94,"chrysler,new,yorker,brougham",8,440.0,215.0,4735,11.0,73,1,13.0
95,"buick,electra,225,custom",8,455.0,225.0,4951,11.0,73,1,12.0
96,"amc,ambassador,brougham",8,360.0,175.0,3821,11.0,73,1,13.0
97,"plymouth,valiant",6,225.0,105.0,3121,16.5,73,1,18.0
98,"chevrolet,nova,custom",6,250.0,100.0,3278,18.0,73,1,16.0
99,"amc,hornet",6,232.0,100.0,2945,16.0,73,1,18.0
100,"ford,maverick",6,250.0,88.0,3021,16.5,73,1,18.0
101,"plymouth,duster",6,198.0,95.0,2904,16.0,73,1,23.0
102,"volkswagen,super,beetle",4,97.0,46.0,1950,21.0,73,2,26.0
103,"chevrolet,impala",8,400.0,150.0,4997,14.0,73,1,11.0
104,"ford,country",8,400.0,167.0,4906,12.5,73,1,12.0
105,"plymouth,custom,suburb",8,360.0,170.0,4654,13.0,73,1,13.0
106,"oldsmobile,vista,cruiser",8,350.0,180.0,4499,12.5,73,1,12.0
107,"amc,gremlin",6,232.0,100.0,2789,15.0,73,1,18.0
108,"toyota,carina",4,97.0,88.0,2279,19.0,73,3,20.0
109,"chevrolet,vega",4,140.0,72.0,2401,19.5,73,1,21.0
110,"datsun,610",4,108.0,94.0,2379,16.5,73,3,22.0
111,"maxda,rx3",3,70.0,90.0,2124,13.5,73,3,18.0
112,"ford,pinto",4,122.0,85.0,2310,18.5,73,1,19.0
113,"mercury,capri,v6",6,155.0,107.0,2472,14.0,73,1,21.0
114,"fiat,124,sport,coupe",4,98.0,90.0,2265,15.5,73,2,26.0
115,"chevrolet,monte,carlo,s",8,350.0,145.0,4082,13.0,73,1,15.0
116,"pontiac,grand,prix",8,400.0,230.0,4278,9.5,73,1,16.0
117,"fiat,128",4,68.0,49.0,1867,19.5,73,2,29.0
118,"opel,manta",4,116.0,75.0,2158,15.5,73,2,24.0
119,"audi,100ls",4,114.0,91.0,2582,14.0,73,2,20.0
120,"volvo,144ea",4,121.0,112.0,2868,15.5,73,2,19.0
121,"dodge,dart,custom",8,318.0,150.0,3399,11.0,73,1,15.0
122,"saab,99le",4,121.0,110.0,2660,14.0,73,2,24.0
123,"toyota,mark,ii",6,156.0,122.0,2807,13.5,73,3,20.0
124,"oldsmobile,omega",8,350.0,180.0,3664,11.0,73,1,11.0
125,"plymouth,duster",6,198.0,95.0,3102,16.5,74,1,20.0
126,"ford,maverick",6,200.0,,2875,17.0,74,1,21.0
127,"amc,hornet",6,232.0,100.0,2901,16.0,74,1,19.0
128,"chevrolet,nova",6,250.0,100.0,3336,17.0,74,1,15.0
129,"datsun,b210",4,79.0,67.0,1950,19.0,74,3,31.0
130,"ford,pinto",4,122.0,80.0,2451,16.5,74,1,26.0
131,"toyota,corolla,1200",4,71.0,65.0,1836,21.0,74,3,32.0
132,"chevrolet,vega",4,140.0,75.0,2542,17.0,74,1,25.0
133,"chevrolet,chevelle,malibu,classic",6,250.0,100.0,3781,17.0,74,1,16.0
134,"amc,matador",6,258.0,110.0,3632,18.0,74,1,16.0
135,"plymouth,satellite,sebring",6,225.0,105.0,3613,16.5,74,1,18.0
136,"ford,gran,torino",8,302.0,140.0,4141,14.0,74,1,16.0
137,"buick,century,luxus,(sw)",8,350.0,150.0,4699,14.5,74,1,13.0
138,"dodge,coronet,custom,(sw)",8,318.0,150.0,4457,13.5,74,1,14.0
139,"ford,gran,torino,(sw)",8,302.0,140.0,4638,16.0,74,1,14.0
140,"amc,matador,(sw)",8,304.0,150.0,4257,15.5,74,1,14.0
141,"audi,fox",4,98.0,83.0,2219,16.5,74,2,29.0
142,"volkswagen,dasher",4,79.0,67.0,1963,15.5,74,2,26.0
143,"opel,manta",4,97.0,78.0,2300,14.5,74,2,26.0
144,"toyota,corona",4,76.0,52.0,1649,16.5,74,3,31.0
145,"datsun,710",4,83.0,61.0,2003,19.0,74,3,32.0
146,"dodge,colt",4,90.0,75.0,2125,14.5,74,1,28.0
147,"fiat,128",4,90.0,75.0,2108,15.5,74,2,24.0
148,"fiat,124,tc",4,116.0,75.0,2246,14.0,74,2,26.0
149,"honda,civic",4,120.0,97.0,2489,15.0,74,3,24.0
150,subaru,4,108.0,93.0,2391,15.5,74,3,26.0
151,"fiat,x1.9",4,79.0,67.0,2000,16.0,74,2,31.0
152,"plymouth,valiant,custom",6,225.0,95.0,3264,16.0,75,1,19.0
153,"chevrolet,nova",6,250.0,105.0,3459,16.0,75,1,18.0
154,"mercury,monarch",6,250.0,72.0,3432,21.0,75,1,15.0
155,"ford,maverick",6,250.0,72.0,3158,19.5,75,1,15.0
156,"pontiac,catalina",8,400.0,170.0,4668,11.5,75,1,16.0
157,"chevrolet,bel,air",8,350.0,145.0,4440,14.0,75,1,15.0
158,"plymouth,grand,fury",8,318.0,150.0,4498,14.5,75,1,16.0
159,"ford,ltd",8,351.0,148.0,4657,13.5,75,1,14.0
160,"buick,century",6,231.0,110.0,3907,21.0,75,1,17.0
161,"chevroelt,chevelle,malibu",6,250.0,105.0,3897,18.5,75,1,16.0
162,"amc,matador",6,258.0,110.0,3730,19.0,75,1,15.0
163,"plymouth,fury",6,225.0,95.0,3785,19.0,75,1,18.0
164,"buick,skyhawk",6,231.0,110.0,3039,15.0,75,1,21.0
165,"chevrolet,monza,2+2",8,262.0,110.0,3221,13.5,75,1,20.0
166,"ford,mustang,ii",8,302.0,129.0,3169,12.0,75,1,13.0
167,"toyota,corolla",4,97.0,75.0,2171,16.0,75,3,29.0
168,"ford,pinto",4,140.0,83.0,2639,17.0,75,1,23.0
169,"amc,gremlin",6,232.0,100.0,2914,16.0,75,1,20.0
170,"pontiac,astro",4,140.0,78.0,2592,18.5,75,1,23.0
171,"toyota,corona",4,134.0,96.0,2702,13.5,75,3,24.0
172,"volkswagen,dasher",4,90.0,71.0,2223,16.5,75,2,25.0
173,"datsun,710",4,119.0,97.0,2545,17.0,75,3,24.0
174,"ford,pinto",6,171.0,97.0,2984,14.5,75,1,18.0
175,"volkswagen,rabbit",4,90.0,70.0,1937,14.0,75,2,29.0
176,"amc,pacer",6,232.0,90.0,3211,17.0,75,1,19.0
177,"audi,100ls",4,115.0,95.0,2694,15.0,75,2,23.0
178,"peugeot,504",4,120.0,88.0,2957,17.0,75,2,23.0
179,"volvo,244dl",4,121.0,98.0,2945,14.5,75,2,22.0
180,"saab,99le",4,121.0,115.0,2671,13.5,75,2,25.0
181,"honda,civic,cvcc",4,91.0,53.0,1795,17.5,75,3,33.0
182,"fiat,131",4,107.0,86.0,2464,15.5,76,2,28.0
183,"opel,1900",4,116.0,81.0,2220,16.9,76,2,25.0
184,"capri,ii",4,140.0,92.0,2572,14.9,76,1,25.0
185,"dodge,colt",4,98.0,79.0,2255,17.7,76,1,26.0
186,"renault,12tl",4,101.0,83.0,2202,15.3,76,2,27.0
187,"chevrolet,chevelle,malibu,classic",8,305.0,140.0,4215,13.0,76,1,17.5
188,"dodge,coronet,brougham",8,318.0,150.0,4190,13.0,76,1,16.0
189,"amc,matador",8,304.0,120.0,3962,13.9,76,1,15.5
190,"ford,gran,torino",8,351.0,152.0,4215,12.8,76,1,14.5
191,"plymouth,valiant",6,225.0,100.0,3233,15.4,76,1,22.0
192,"chevrolet,nova",6,250.0,105.0,3353,14.5,76,1,22.0
193,"ford,maverick",6,200.0,81.0,3012,17.6,76,1,24.0
194,"amc,hornet",6,232.0,90.0,3085,17.6,76,1,22.5
195,"chevrolet,chevette",4,85.0,52.0,2035,22.2,76,1,29.0
196,"chevrolet,woody",4,98.0,60.0,2164,22.1,76,1,24.5
197,"vw,rabbit",4,90.0,70.0,1937,14.2,76,2,29.0
198,"honda,civic",4,91.0,53.0,1795,17.4,76,3,33.0
199,"dodge,aspen,se",6,225.0,100.0,3651,17.7,76,1,20.0
200,"ford,granada,ghia",6,250.0,78.0,3574,21.0,76,1,18.0
201,"pontiac,ventura,sj",6,250.0,110.0,3645,16.2,76,1,18.5
202,"amc,pacer,d/l",6,258.0,95.0,3193,17.8,76,1,17.5
203,"volkswagen,rabbit",4,97.0,71.0,1825,12.2,76,2,29.5
204,"datsun,b-210",4,85.0,70.0,1990,17.0,76,3,32.0
205,"toyota,corolla",4,97.0,75.0,2155,16.4,76,3,28.0
206,"ford,pinto",4,140.0,72.0,2565,13.6,76,1,26.5
207,"volvo,245",4,130.0,102.0,3150,15.7,76,2,20.0
208,"plymouth,volare,premier,v8",8,318.0,150.0,3940,13.2,76,1,13.0
209,"peugeot,504",4,120.0,88.0,3270,21.9,76,2,19.0
210,"toyota,mark,ii",6,156.0,108.0,2930,15.5,76,3,19.0
211,"mercedes-benz,280s",6,168.0,120.0,3820,16.7,76,2,16.5
212,"cadillac,seville",8,350.0,180.0,4380,12.1,76,1,16.5
213,"chevy,c10",8,350.0,145.0,4055,12.0,76,1,13.0
214,"ford,f108",8,302.0,130.0,3870,15.0,76,1,13.0
215,"dodge,d100",8,318.0,150.0,3755,14.0,76,1,13.0
216,"honda,accord,cvcc",4,98.0,68.0,2045,18.5,77,3,31.5
217,"buick,opel,isuzu,deluxe",4,111.0,80.0,2155,14.8,77,1,30.0
218,"renault,5,gtl",4,79.0,58.0,1825,18.6,77,2,36.0
219,"plymouth,arrow,gs",4,122.0,96.0,2300,15.5,77,1,25.5
220,"datsun,f-10,hatchback",4,85.0,70.0,1945,16.8,77,3,33.5
221,"chevrolet,caprice,classic",8,305.0,145.0,3880,12.5,77,1,17.5
222,"oldsmobile,cutlass,supreme",8,260.0,110.0,4060,19.0,77,1,17.0
223,"dodge,monaco,brougham",8,318.0,145.0,4140,13.7,77,1,15.5
224,"mercury,cougar,brougham",8,302.0,130.0,4295,14.9,77,1,15.0
225,"chevrolet,concours",6,250.0,110.0,3520,16.4,77,1,17.5
226,"buick,skylark",6,231.0,105.0,3425,16.9,77,1,20.5
227,"plymouth,volare,custom",6,225.0,100.0,3630,17.7,77,1,19.0
228,"ford,granada",6,250.0,98.0,3525,19.0,77,1,18.5
229,"pontiac,grand,prix,lj",8,400.0,180.0,4220,11.1,77,1,16.0
230,"chevrolet,monte,carlo,landau",8,350.0,170.0,4165,11.4,77,1,15.5
231,"chrysler,cordoba",8,400.0,190.0,4325,12.2,77,1,15.5
232,"ford,thunderbird",8,351.0,149.0,4335,14.5,77,1,16.0
233,"volkswagen,rabbit,custom",4,97.0,78.0,1940,14.5,77,2,29.0
234,"pontiac,sunbird,coupe",4,151.0,88.0,2740,16.0,77,1,24.5
235,"toyota,corolla,liftback",4,97.0,75.0,2265,18.2,77,3,26.0
236,"ford,mustang,ii,2+2",4,140.0,89.0,2755,15.8,77,1,25.5
237,"chevrolet,chevette",4,98.0,63.0,2051,17.0,77,1,30.5
238,"dodge,colt,m/m",4,98.0,83.0,2075,15.9,77,1,33.5
239,"subaru,dl",4,97.0,67.0,1985,16.4,77,3,30.0
240,"volkswagen,dasher",4,97.0,78.0,2190,14.1,77,2,30.5
241,"datsun,810",6,146.0,97.0,2815,14.5,77,3,22.0
242,"bmw,320i",4,121.0,110.0,2600,12.8,77,2,21.5
243,"mazda,rx-4",3,80.0,110.0,2720,13.5,77,3,21.5
244,"volkswagen,rabbit,custom,diesel",4,90.0,48.0,1985,21.5,78,2,43.1
245,"ford,fiesta",4,98.0,66.0,1800,14.4,78,1,36.1
246,"mazda,glc,deluxe",4,78.0,52.0,1985,19.4,78,3,32.8
247,"datsun,b210,gx",4,85.0,70.0,2070,18.6,78,3,39.4
248,"honda,civic,cvcc",4,91.0,60.0,1800,16.4,78,3,36.1
249,"oldsmobile,cutlass,salon,brougham",8,260.0,110.0,3365,15.5,78,1,19.9
250,"dodge,diplomat",8,318.0,140.0,3735,13.2,78,1,19.4
251,"mercury,monarch,ghia",8,302.0,139.0,3570,12.8,78,1,20.2
252,"pontiac,phoenix,lj",6,231.0,105.0,3535,19.2,78,1,19.2
253,"chevrolet,malibu",6,200.0,95.0,3155,18.2,78,1,20.5
254,"ford,fairmont,(auto)",6,200.0,85.0,2965,15.8,78,1,20.2
255,"ford,fairmont,(man)",4,140.0,88.0,2720,15.4,78,1,25.1
256,"plymouth,volare",6,225.0,100.0,3430,17.2,78,1,20.5
257,"amc,concord",6,232.0,90.0,3210,17.2,78,1,19.4
258,"buick,century,special",6,231.0,105.0,3380,15.8,78,1,20.6
259,"mercury,zephyr",6,200.0,85.0,3070,16.7,78,1,20.8
260,"dodge,aspen",6,225.0,110.0,3620,18.7,78,1,18.6
261,"amc,concord,d/l",6,258.0,120.0,3410,15.1,78,1,18.1
262,"chevrolet,monte,carlo,landau",8,305.0,145.0,3425,13.2,78,1,19.2
263,"buick,regal,sport,coupe,(turbo)",6,231.0,165.0,3445,13.4,78,1,17.7
264,"ford,futura",8,302.0,139.0,3205,11.2,78,1,18.1
265,"dodge,magnum,xe",8,318.0,140.0,4080,13.7,78,1,17.5
266,"chevrolet,chevette",4,98.0,68.0,2155,16.5,78,1,30.0
267,"toyota,corona",4,134.0,95.0,2560,14.2,78,3,27.5
268,"datsun,510",4,119.0,97.0,2300,14.7,78,3,27.2
269,"dodge,omni",4,105.0,75.0,2230,14.5,78,1,30.9
270,"toyota,celica,gt,liftback",4,134.0,95.0,2515,14.8,78,3,21.1
271,"plymouth,sapporo",4,156.0,105.0,2745,16.7,78,1,23.2
272,"oldsmobile,starfire,sx",4,151.0,85.0,2855,17.6,78,1,23.8
273,"datsun,200-sx",4,119.0,97.0,2405,14.9,78,3,23.9
274,"audi,5000",5,131.0,103.0,2830,15.9,78,2,20.3
275,"volvo,264gl",6,163.0,125.0,3140,13.6,78,2,17.0
276,"saab,99gle",4,121.0,115.0,2795,15.7,78,2,21.6
277,"peugeot,604sl",6,163.0,133.0,3410,15.8,78,2,16.2
278,"volkswagen,scirocco",4,89.0,71.0,1990,14.9,78,2,31.5
279,"honda,accord,lx",4,98.0,68.0,2135,16.6,78,3,29.5
280,"pontiac,lemans,v6",6,231.0,115.0,3245,15.4,79,1,21.5
281,"mercury,zephyr,6",6,200.0,85.0,2990,18.2,79,1,19.8
282,"ford,fairmont,4",4,140.0,88.0,2890,17.3,79,1,22.3
283,"amc,concord,dl,6",6,232.0,90.0,3265,18.2,79,1,20.2
284,"dodge,aspen,6",6,225.0,110.0,3360,16.6,79,1,20.6
285,"chevrolet,caprice,classic",8,305.0,130.0,3840,15.4,79,1,17.0
286,"ford,ltd,landau",8,302.0,129.0,3725,13.4,79,1,17.6
287,"mercury,grand,marquis",8,351.0,138.0,3955,13.2,79,1,16.5
288,"dodge,st.,regis",8,318.0,135.0,3830,15.2,79,1,18.2
289,"buick,estate,wagon,(sw)",8,350.0,155.0,4360,14.9,79,1,16.9
290,"ford,country,squire,(sw)",8,351.0,142.0,4054,14.3,79,1,15.5
291,"chevrolet,malibu,classic,(sw)",8,267.0,125.0,3605,15.0,79,1,19.2
292,"chrysler,lebaron,town,@,country,(sw)",8,360.0,150.0,3940,13.0,79,1,18.5
293,"vw,rabbit,custom",4,89.0,71.0,1925,14.0,79,2,31.9
294,"maxda,glc,deluxe",4,86.0,65.0,1975,15.2,79,3,34.1
295,"dodge,colt,hatchback,custom",4,98.0,80.0,1915,14.4,79,1,35.7
296,"amc,spirit,dl",4,121.0,80.0,2670,15.0,79,1,27.4
297,"mercedes,benz,300d",5,183.0,77.0,3530,20.1,79,2,25.4
298,"cadillac,eldorado",8,350.0,125.0,3900,17.4,79,1,23.0
299,"peugeot,504",4,141.0,71.0,3190,24.8,79,2,27.2
300,"oldsmobile,cutlass,salon,brougham",8,260.0,90.0,3420,22.2,79,1,23.9
301,"plymouth,horizon",4,105.0,70.0,2200,13.2,79,1,34.2
302,"plymouth,horizon,tc3",4,105.0,70.0,2150,14.9,79,1,34.5
303,"datsun,210",4,85.0,65.0,2020,19.2,79,3,31.8
304,"fiat,strada,custom",4,91.0,69.0,2130,14.7,79,2,37.3
305,"buick,skylark,limited",4,151.0,90.0,2670,16.0,79,1,28.4
306,"chevrolet,citation",6,173.0,115.0,2595,11.3,79,1,28.8
307,"oldsmobile,omega,brougham",6,173.0,115.0,2700,12.9,79,1,26.8
308,"pontiac,phoenix",4,151.0,90.0,2556,13.2,79,1,33.5
309,"vw,rabbit",4,98.0,76.0,2144,14.7,80,2,41.5
310,"toyota,corolla,tercel",4,89.0,60.0,1968,18.8,80,3,38.1
311,"chevrolet,chevette",4,98.0,70.0,2120,15.5,80,1,32.1
312,"datsun,310",4,86.0,65.0,2019,16.4,80,3,37.2
313,"chevrolet,citation",4,151.0,90.0,2678,16.5,80,1,28.0
314,"ford,fairmont",4,140.0,88.0,2870,18.1,80,1,26.4
315,"amc,concord",4,151.0,90.0,3003,20.1,80,1,24.3
316,"dodge,aspen",6,225.0,90.0,3381,18.7,80,1,19.1
317,"audi,4000",4,97.0,78.0,2188,15.8,80,2,34.3
318,"toyota,corona,liftback",4,134.0,90.0,2711,15.5,80,3,29.8
319,"mazda,626",4,120.0,75.0,2542,17.5,80,3,31.3
320,"datsun,510,hatchback",4,119.0,92.0,2434,15.0,80,3,37.0
321,"toyota,corolla",4,108.0,75.0,2265,15.2,80,3,32.2
322,"mazda,glc",4,86.0,65.0,2110,17.9,80,3,46.6
323,"dodge,colt",4,156.0,105.0,2800,14.4,80,1,27.9
324,"datsun,210",4,85.0,65.0,2110,19.2,80,3,40.8
325,"vw,rabbit,c,(diesel)",4,90.0,48.0,2085,21.7,80,2,44.3
326,"vw,dasher,(diesel)",4,90.0,48.0,2335,23.7,80,2,43.4
327,"audi,5000s,(diesel)",5,121.0,67.0,2950,19.9,80,2,36.4
328,"mercedes-benz,240d",4,146.0,67.0,3250,21.8,80,2,30.0
329,"honda,civic,1500,gl",4,91.0,67.0,1850,13.8,80,3,44.6
330,"renault,lecar,deluxe",4,85.0,,1835,17.3,80,2,40.9
331,"subaru,dl",4,97.0,67.0,2145,18.0,80,3,33.8
332,"vokswagen,rabbit",4,89.0,62.0,1845,15.3,80,2,29.8
333,"datsun,280-zx",6,168.0,132.0,2910,11.4,80,3,32.7
334,"mazda,rx-7,gs",3,70.0,100.0,2420,12.5,80,3,23.7
335,"triumph,tr7,coupe",4,122.0,88.0,2500,15.1,80,2,35.0
336,"ford,mustang,cobra",4,140.0,,2905,14.3,80,1,23.6
337,"honda,accord",4,107.0,72.0,2290,17.0,80,3,32.4
338,"plymouth,reliant",4,135.0,84.0,2490,15.7,81,1,27.2
339,"buick,skylark",4,151.0,84.0,2635,16.4,81,1,26.6
340,"dodge,aries,wagon,(sw)",4,156.0,92.0,2620,14.4,81,1,25.8
341,"chevrolet,citation",6,173.0,110.0,2725,12.6,81,1,23.5
342,"plymouth,reliant",4,135.0,84.0,2385,12.9,81,1,30.0
343,"toyota,starlet",4,79.0,58.0,1755,16.9,81,3,39.1
344,"plymouth,champ",4,86.0,64.0,1875,16.4,81,1,39.0
345,"honda,civic,1300",4,81.0,60.0,1760,16.1,81,3,35.1
346,subaru,4,97.0,67.0,2065,17.8,81,3,32.3
347,"datsun,210,mpg",4,85.0,65.0,1975,19.4,81,3,37.0
348,"toyota,tercel",4,89.0,62.0,2050,17.3,81,3,37.7
349,"mazda,glc,4",4,91.0,68.0,1985,16.0,81,3,34.1
350,"plymouth,horizon,4",4,105.0,63.0,2215,14.9,81,1,34.7
351,"ford,escort,4w",4,98.0,65.0,2045,16.2,81,1,34.4
352,"ford,escort,2h",4,98.0,65.0,2380,20.7,81,1,29.9
353,"volkswagen,jetta",4,105.0,74.0,2190,14.2,81,2,33.0
354,"renault,18i",4,100.0,,2320,15.8,81,2,34.5
355,"honda,prelude",4,107.0,75.0,2210,14.4,81,3,33.7
356,"toyota,corolla",4,108.0,75.0,2350,16.8,81,3,32.4
357,"datsun,200sx",4,119.0,100.0,2615,14.8,81,3,32.9
358,"mazda,626",4,120.0,74.0,2635,18.3,81,3,31.6
359,"peugeot,505s,turbo,diesel",4,141.0,80.0,3230,20.4,81,2,28.1
360,"volvo,diesel",6,145.0,76.0,3160,19.6,81,2,30.7
361,"toyota,cressida",6,168.0,116.0,2900,12.6,81,3,25.4
362,"datsun,810,maxima",6,146.0,120.0,2930,13.8,81,3,24.2
363,"buick,century",6,231.0,110.0,3415,15.8,81,1,22.4
364,"oldsmobile,cutlass,ls",8,350.0,105.0,3725,19.0,81,1,26.6
365,"ford,granada,gl",6,200.0,88.0,3060,17.1,81,1,20.2
366,"chrysler,lebaron,salon",6,225.0,85.0,3465,16.6,81,1,17.6
